ano_eleicao,sigla_uf,nome_municipio,descricao_cargo,num_turno,numero_zona,sigla_partido,nome_candidato,nome_urna_candidato,numero_cand,desc_sit_cand_superior,desc_sit_candidato,desc_sit_cand_tot,total_votos
2004,SP,SAO JOSE DOS CAMPOS,VEREADOR,1,412,PT,WAGNER OCIMAR BALIEIRO,WAGNER BALIEIRO,13200,,DEFERIDO,ELEITO,177
2004,SP,SAO JOSE DOS CAMPOS,VEREADOR,1,412,PV,JOÃO MANUEL FARIA SIMÕES DE CARVALHO MAIO,DOUTOR MANUEL DO PV,43043,,DEFERIDO,NÃO ELEITO,177
2004,SP,SAO JOSE DOS CAMPOS,VEREADOR,1,412,PFL,RODOLFO CHRISTIAN MINAS,DODÔ,25943,,DEFERIDO,SUPLENTE,176
2004,SP,SAO JOSE DOS CAMPOS,VEREADOR,1,412,PSB,TSAI YANG TANG,TANG,40800,,DEFERIDO,SUPLENTE,176
2004,SP,SAO JOSE DOS CAMPOS,VEREADOR,1,127,PSDB,MARIA LÚCIA RAMOS GUACELLI,MARIA LÚCIA GUACELLI,45345,,DEFERIDO,SUPLENTE,175
2004,SP,SAO JOSE DOS CAMPOS,VEREADOR,1,127,PMDB,JOSE ZEFERINO AUGUSTO DA SILVA,PASTOR ZEZINHO,15644,,DEFERIDO,SUPLENTE,174
2004,SP,SAO JOSE DOS CAMPOS,VEREADOR,1,127,PL,ESTEVAN ROGERIO NEVES,ESTEVAN NEVES,22580,,DEFERIDO,SUPLENTE,174
2004,SP,SAO JOSE DOS CAMPOS,VEREADOR,1,412,PPS,JOÃO BOSCO SOARES,JOTABE,23654,,DEFERIDO,SUPLENTE,174
2004,SP,SAO JOSE DOS CAMPOS,VEREADOR,1,127,PRONA,TEREZINHA DOS SANTOS KOJIO,TEREZINHA KOJIO,56056,,DEFERIDO,SUPLENTE,173
2004,SP,SAO JOSE DOS CAMPOS,VEREADOR,1,282,PT,AILTON LAURENTINO,LAURENTINO DA PETROBRAS,13123,,DEFERIDO,SUPLENTE,173
2004,SP,SAO JOSE DOS CAMPOS,VEREADOR,1,127,PMDB,ROBERTO MATIAS ALVES,EV. ROBERTO MATIAS,15111,,DEFERIDO,SUPLENTE,172
2004,SP,SAO JOSE DOS CAMPOS,VEREADOR,1,282,PMN,PEDRO BATISTA DE MELO FILHO,PEDRO BATISTA,33222,,DEFERIDO,SUPLENTE,172
2004,SP,SAO JOSE DOS CAMPOS,VEREADOR,1,411,PT,GENESIO ANTONIO TAVARES,BOZO,13456,,DEFERIDO,SUPLENTE,171
2004,SP,SAO JOSE DOS CAMPOS,VEREADOR,1,411,PSB,MARCIO MASSAYUKI KANASHIRO,MARCIO KANASHIRO,40125,,DEFERIDO,SUPLENTE,171
2004,SP,SAO JOSE DOS CAMPOS,VEREADOR,1,127,PL,LUIS CARLOS TEIXEIRA,LUIS CARLOS,22462,,DEFERIDO,SUPLENTE,168
2004,SP,SAO JOSE DOS CAMPOS,VEREADOR,1,412,PFL,PAULO CESAR DE OLIVEIRA,PAULINHO DA FARMACIA,25444,,DEFERIDO,SUPLENTE,167
2004,SP,SAO JOSE DOS CAMPOS,VEREADOR,1,282,PL,MAGDA ESTELA MORENO MOREIRA,MAGDA,22156,,DEFERIDO,SUPLENTE,166
2004,SP,SAO JOSE DOS CAMPOS,VEREADOR,1,411,PMDB,APARECIDA CIRLEI MIRANDA PORTELA,SHIRLEY,15577,,DEFERIDO,SUPLENTE,166
2004,SP,SAO JOSE DOS CAMPOS,VEREADOR,1,412,PMDB,ROBERTO MATIAS ALVES,EV. ROBERTO MATIAS,15111,,DEFERIDO,SUPLENTE,166
